name,id,pinyin
宁沪高速,600377,nínɡ hù ɡāo sù
天科股份,600378,tiān kē ɡǔ bīn
宝光股份,600379,bǎo ɡuānɡ ɡǔ bīn
健康元,600380,jiàn kānɡ yuán
ST贤成,600381,S T xián chénɡ
广东明珠,600382,ān dōnɡ mènɡ zhū
金地集团,600383,jīn de jí qiú
ST金泰,600385,S T jīn tài
北巴传媒,600386,běi bā chuán méi
海越股份,600387,hǎi huó ɡǔ bīn
龙净环保,600388,lónɡ chēnɡ huán bǎo
江山股份,600389,jiānɡ shān ɡǔ bīn
金瑞科技,600390,jīn ruì kē jì
成发科技,600391,chénɡ fā kē jì
太工天成,600392,tā ɡōnɡ tiān chénɡ
东华实业,600393,dōnɡ huá shí yè
盘江股份,600395,pán jiānɡ ɡǔ bīn
金山股份,600396,jīn shān ɡǔ bīn
安源股份,600397,ān yuán ɡǔ bīn
凯诺科技,600398,kǎi nuò kē jì
抚顺特钢,600399,fǔ shùn tè ɡānɡ
红豆股份,600400,ɡōnɡ dòu ɡǔ bīn
大有能源,600403,dà wěi nái yuán
动力源,600405,dònɡ lì/li yuán
国电南瑞,600406,ɡuó diàn nā ruì
安泰集团,600408,ān tài jí qiú
三友化工,600409,sān yǒu huā ɡōnɡ
华胜天成,600410,huá qìng tiān chénɡ
小商品城,600415,xiǎo shānɡ pǐn chénɡ
湘电股份,600416,xiānɡ diàn ɡǔ bīn
江淮汽车,600418,jiānɡ huái ɡài chē
ST天宏,600419,S T tiān hónɡ
现代制药,600420,xiàn dài zhì yào
ST国药,600421,S T ɡuó yào
昆明制药,600422,hún mènɡ zhì yào
柳化股份,600423,liǔ huā ɡǔ bīn
青松建化,600425,jīnɡ sōng jiàn huā
华鲁恒升,600426,huá lǔ hénɡ shēnɡ
中远航运,600428,zhōnɡ yuǎn hánɡ yǔn
三元股份,600429,sān yuán ɡǔ bīn
吉恩镍业,600432,jí ēn niè yè
冠豪高新,600433,ɡuān háo ɡāo xīn
中兵光电,600435,zhōnɡ bīnɡ ɡuānɡ diàn
片仔癀,600436,pàn zǎi huánɡ
通威股份,600438,tōng wēi ɡǔ bīn
瑞贝卡,600439,ruì bèi kǎ
*ST国通,600444,* S T ɡuó tōng
金证股份,600446,jīn zhènɡ ɡǔ bīn
华纺股份,600448,huá fǎnɡ ɡǔ bīn
赛马实业,600449,sài mǎ shí yè
涪陵电力,600452,fú líng diàn lì/li
*ST博通,600455,* S T bó tōng
宝钛股份,600456,bǎo tài ɡǔ bīn
时代新材,600458,shí dài xīn cái
贵研铂业,600459,ɡuì xíng bó yè
士兰微,600460,shì lán wēi
洪城水业,600461,hónɡ chénɡ shuǐ yè
*ST石岘,600462,* S T dàn xiàn
空港股份,600463,kōnɡ ɡǎnɡ ɡǔ bīn
迪康药业,600466,dí kānɡ yào yè
好当家,600467,hāo dānɡ ɡū
百利电气,600468,bǎi lì diàn qǐ
风神股份,600469,fēnɡ shén ɡǔ bīn
六国化工,600470,liù/lù ɡuó huā ɡōnɡ
华光股份,600475,huá ɡuānɡ ɡǔ bīn
湘邮科技,600476,xiānɡ yóu kē jì
杭萧钢构,600477,hánɡ xiāo ɡānɡ ɡòu
科力远,600478,kē lì/li yuǎn
千金药业,600479,qiān jīn yào yè
凌云股份,600480,líng yún ɡǔ bīn
双良节能,600481,shuānɡ liáng jiē nái
风帆股份,600482,fēnɡ fān ɡǔ bīn
福建南纺,600483,fú jiàn nā fǎnɡ
中创信测,600485,zhōnɡ chuānɡ shēn cè
扬农化工,600486,yánɡ nónɡ huā ɡōnɡ
亨通光电,600487,hēnɡ tōng ɡuānɡ diàn
天药股份,600488,tiān yào ɡǔ bīn
中金黄金,600489,zhōnɡ jīn huánɡ jīn
*ST合臣,600490,* S T ɡě chén
龙元建设,600491,lónɡ yuán jiàn shè
凤竹纺织,600493,fènɡ zhú fǎnɡ zhī
晋西车轴,600495,jìn xī chē zhóu
精工钢构,600496,jīng ɡōnɡ ɡānɡ ɡòu
驰宏锌锗,600497,chí hónɡ xīn zhě
烽火通信,600498,fēnɡ huō tōng shēn
科达机电,600499,kē dá jī diàn
中化国际,600500,zhōnɡ huā ɡuó jì
航天晨光,600501,hánɡ tiān chén ɡuānɡ
安徽水利,600502,ān huī shuǐ lì
华丽家族,600503,huá lí ɡū còu
西昌电力,600505,xī chānɡ diàn lì/li
ST香梨,600506,S T xiānɡ lí
方大特钢,600507,fānɡ dà tè ɡānɡ
上海能源,600508,shǎnɡ hǎi nái yuán
