"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"380",185.419998,188.429993,185.199997,187.970001,17485200,185.864655
"381",189.5,190.679993,189.300003,190.580002,19756600,188.445404
"382",190.710007,191.279999,190.179993,190.350006,15939100,188.217972
"383",188.5,189.779999,187.610001,187.880005,18831500,185.77565
"384",189.529999,191.410004,189.309998,191.029999,18041100,188.890366
"385",191.080002,191.839996,190.899994,191.330002,12513900,189.187012
"386",191.520004,192.649994,190.419998,190.910004,15043100,188.771713
"387",189.75,191.869995,189.199997,191.449997,15534500,189.305664
"388",191.779999,191.800003,189.929993,190.399994,16393400,188.26741
"389",189.690002,192.550003,189.690002,191.880005,20286800,189.73085
"390",191.779999,192.429993,190.169998,191.440002,20676200,189.295776
"391",190.679993,191.960007,189.559998,191.610001,15989400,189.463867
"392",192.449997,193.660004,192.050003,193,18697900,190.838303
"393",193.059998,194.850006,192.429993,194.820007,16709900,192.637924
"394",194.610001,195.960007,193.610001,194.210007,19076000,192.03476
"395",194.990005,195.190002,190.100006,190.979996,24024000,188.840912
"396",191.899994,192.199997,189.070007,189.910004,21029500,187.782913
"397",190.300003,192.139999,189.339996,190.289993,39373000,188.158646
"398",199.130005,201.759995,197.309998,201.5,67935700,199.243088
"399",200.580002,208.380005,200.350006,207.389999,62404000,205.067123
"400",207.029999,208.740005,205.479996,207.990005,33447400,205.660416
"401",208,209.25,207.070007,209.070007,25425400,206.728317
"402",209.320007,209.5,206.759995,207.110001,25587400,204.790268
"403",206.050003,207.809998,204.520004,207.25,22525500,204.928696
"404",207.279999,209.779999,207.199997,208.880005,23469200,206.540436
"405",207.360001,209.100006,206.669998,207.529999,24611200,205.925232
"406",207.699997,210.949997,207.699997,208.869995,25869100,207.254883
"407",210.160004,210.559998,208.259995,209.75,20748000,208.128067
"408",209.220001,210.740005,208.330002,210.240005,28807600,208.614273
"409",211.75,213.809998,211.470001,213.320007,28500400,211.670471
"410",213.440002,217.949997,213.160004,217.580002,35427000,215.897522
"411",218.100006,219.179993,215.110001,215.460007,30287700,213.79393
"412",216.800003,217.190002,214.029999,215.039993,26159800,213.377167
"413",214.100006,216.360001,213.839996,215.050003,19018100,213.387085
"414",214.649994,217.050003,214.600006,215.490005,18883200,213.823685
"415",216.600006,216.899994,215.110001,216.160004,18476400,214.488495
"416",217.149994,218.740005,216.330002,217.940002,20525100,216.254745
"417",219.009995,220.539993,218.919998,219.699997,22776800,218.001129
"418",220.149994,223.490005,219.410004,222.979996,27254800,221.255753
"419",223.25,228.259995,222.399994,225.029999,48793800,223.289917
"420",226.509995,228.869995,226,227.630005,43340100,225.869812
"421",228.410004,229.179993,226.630005,228.360001,27390100,226.594162
"422",228.990005,229.669998,225.100006,226.869995,33333000,225.115677
"423",226.229996,227.350006,221.300003,223.100006,34290000,221.374847
"424",221.850006,225.369995,220.710007,221.300003,37619800,219.58876
"425",220.949997,221.850006,216.470001,218.330002,39516500,216.641724
"426",218.009995,224.300003,216.559998,223.850006,35749000,222.119049
"427",224.940002,225,219.839996,221.070007,49278700,219.36055
"428",223.520004,228.350006,222.570007,226.410004,41706400,224.659256
"429",225.75,226.839996,222.520004,223.839996,31999300,222.1091
"430",222.149994,222.949997,217.270004,217.880005,37195100,216.195206
"431",217.789993,221.850006,217.119995,218.240005,31571700,216.552414
"432",218.5,219.619995,215.300003,218.369995,27123800,216.681412
"433",220.240005,222.279999,219.149994,220.029999,26608800,218.328583
"434",220.779999,221.360001,217.289993,217.660004,96246700,215.976913
"435",216.820007,221.259995,216.630005,220.789993,27693400,219.082687
"436",219.75,222.820007,219.699997,222.190002,24554400,220.471878
"437",221,223.75,219.759995,220.419998,23984700,218.715561
"438",223.820007,226.440002,223.539993,224.949997,30181200,223.210526
"439",224.789993,225.839996,224.020004,225.740005,22929400,223.994431
"440",227.949997,229.419998,226.350006,227.259995,23600800,225.50267
"441",227.25,230,226.630005,229.279999,24788200,227.50705
"442",230.050003,233.470001,229.779999,232.070007,28654800,230.275482
"443",230.779999,232.350006,226.729996,227.990005,32042000,226.227036
"444",227.960007,228.410004,220.580002,224.289993,33580500,222.555634
"445",222.210007,224.800003,220.199997,223.770004,29663900,222.039658
"446",223.639999,227.270004,222.25,226.869995,26891000,225.115677
"447",225.460007,226.350006,216.050003,216.360001,41990600,214.686966
"448",214.520004,219.5,212.320007,214.449997,53124400,212.791718
"449",220.419998,222.880005,216.839996,222.110001,40337900,220.392502
"450",221.160004,221.830002,217.270004,217.360001,30791000,215.67923
"451",218.929993,222.990005,216.759995,222.149994,29184000,220.432175
"452",222.300003,222.639999,219.339996,221.190002,22885400,219.479614
"453",217.860001,219.740005,213,216.020004,32581300,214.349579
"454",218.059998,221.259995,217.429993,219.309998,33078700,217.614151
"455",219.789993,223.360001,218.940002,220.649994,28792100,218.943771
"456",215.830002,223.25,214.699997,222.729996,38767800,221.00769
"457",222.600006,224.229996,214.539993,215.089996,40925500,213.426773
"458",217.710007,221.380005,216.75,219.800003,29855800,218.100357
"459",215.899994,220.190002,212.669998,216.300003,47258400,214.627411
"460",219.190002,219.690002,206.089996,212.240005,45935500,210.598831
"461",211.149994,215.179993,209.270004,213.300003,36660000,211.65062
"462",216.880005,220.449997,216.619995,218.860001,38358900,217.167618
"463",219.050003,222.360001,216.809998,222.220001,58323200,220.501633
"464",209.550003,213.649994,205.429993,207.479996,91328700,205.87561
"465",204.300003,204.389999,198.169998,201.589996,66163700,200.031158
"466",201.919998,204.720001,201.690002,203.770004,31882900,202.194321
"467",205.970001,210.059998,204.130005,209.949997,33424400,208.326508
"468",209.979996,210.119995,206.75,208.490005,25362600,207.599655
"469",205.550003,206.009995,202.25,204.470001,34365800,203.596817
